"f_stop_max","lens_type","f_stop_min","lens_mount","dp_review_link","focal_length","dp_lens_detail_link","year_released","lens_brand","msrp","msrp__002","lens_name"
"F4","Zoom lens","F22","Canon EF","null","8–15 ","https://www.dpreview.com/products/canon/lenses/canon_8-15_4l_usm","Aug 26, 2010","Canon","1,385.89","","Canon EF 8-15mm f/4L Fisheye USM"
"F4","Zoom lens","F22","Canon EF","https://www.dpreview.com/reviews/canon-ef-24-70mm-f4l-is-usm","24–70 ","https://www.dpreview.com/products/canon/lenses/canon_24-70_4","","Canon","899.00 ","2,300.00","Canon EF 24-70mm f/4L IS USM"
"F2.8","Prime lens","F22","Canon EF","null","15 ","https://www.dpreview.com/products/canon/lenses/canon_15_2p8","","Canon","","","Canon EF 15mm f/2.8 Fisheye"
"F2.8","Zoom lens","F22","Canon EF","null","24–70 ","https://www.dpreview.com/products/canon/lenses/canon_24-70_2p8","Sep 29, 2002","Canon","899.00 ","2,300.00","Canon EF 24-70mm f/2.8L USM"
"F2.8","Zoom lens","F22","Canon EF","null","16–35 ","https://www.dpreview.com/products/canon/lenses/canon_16-35_2p8_ii","Feb 22, 2007","Canon","1,899.00","","Canon EF 16-35mm F2.8L II USM"
"F4","Zoom lens","F22","Canon EF","null","11–24 ","https://www.dpreview.com/products/canon/lenses/canon_11-24_f4l_usm","","Canon","2,699.00","","Canon EF 11-24mm F4L USM"
"F2.8","Prime lens","F22","Canon EF","null","20 ","https://www.dpreview.com/products/canon/lenses/canon_20_2p8","","Canon","539.00","","Canon EF 20mm f/2.8 USM"
"F2.8","Prime lens","F22","Canon EF","null","14 ","https://www.dpreview.com/products/canon/lenses/canon_14_2p8","","Canon","","","Canon EF 14mm f/2.8L USM"
"F2.8","Prime lens","F22","Canon EF","null","14 ","https://www.dpreview.com/products/canon/lenses/canon_14_2p8_ii","Aug 20, 2007","Canon","2,099.00","","Canon EF 14mm f/2.8L II USM"
"F2.8","Zoom lens","F22","Canon EF","null","16–35 ","https://www.dpreview.com/products/canon/lenses/canon_16-35_2p8","Sep 26, 2001","Canon","1,749.99","","Canon EF 16-35mm F2.8L USM"
"F2.8","Zoom lens","F22","Canon EF","https://www.dpreview.com/reviews/canon-ef-24-70mm-f-2-8l-ii-usm","24–70 ","https://www.dpreview.com/products/canon/lenses/canon_24-70_2p8_ii","","Canon","1,699.00","","Canon EF 24-70mm f/2.8L II USM"
"F3.5–4.5","Zoom lens","F22–27","Canon EF","null","20–35 ","https://www.dpreview.com/products/canon/lenses/canon_20-35_3p5-4p5","","Canon","","","Canon EF 20-35mm F3.5-4.5 USM"
"F2.8","Zoom lens","F22","Canon EF","https://www.dpreview.com/reviews/updating-a-classic-canon-16-35mm-f2-8l-iii-lens-review","16–35 ","https://www.dpreview.com/products/canon/lenses/canon_16-35_2p8_usm_iii","Aug 25, 2016","Canon","1,999.00","","Canon EF 16-35mm F2.8L III USM"
"F4","Zoom lens","F22","Canon EF","null","17–40 ","https://www.dpreview.com/products/canon/lenses/canon_17-40_4p0","Feb 27, 2003","Canon","749.00 ","849.00","Canon EF 17-40mm f/4.0L USM"
"F2.8","Prime lens","F22","Canon EF","null","24 ","https://www.dpreview.com/products/canon/lenses/canon_24_2p8_is","","Canon","549.00","","Canon EF 24mm f/2.8 IS USM"
"F2","Prime lens","F22","Sony/Minolta Alpha","https://www.dpreview.com/reviews/sony-24-2-m15","24 ","https://www.dpreview.com/products/sony/lenses/sony_24_2","Jul 27, 2010","Sony","1,398.00","","Sony 24mm F2 SSM Carl Zeiss Distagon T*"
"F1.8","Prime lens","F22","Sony FE","null","85 ","https://www.dpreview.com/products/sony/lenses/sony_fe_85_1p8","","Sony","","","Sony FE 85mm F1.8"
"F2.8","Zoom lens","F22","Sony/Minolta Alpha","null","16–35 ","https://www.dpreview.com/products/sony/lenses/sony_16-35_2p8_za_ssm_ii","Apr 23, 2015","Sony","2,248.00","","Sony Vario-Sonnar T* 16-35mm F2.8 ZA SSM II"
"F4","Zoom lens","F22","Canon EF","null","16–35 ","https://www.dpreview.com/products/canon/lenses/canon_16-35_4_p0_is","May 13, 2014","Canon","999.00 ","1,043.95","Canon EF 16-35mm F4L IS USM"
"F4–5.6","Zoom lens","F22–32","Canon EF, Nikon F (FX), Pentax KAF, Sigma SA Bayonet, Sony/Minolta Alpha","null","70–300 ","https://www.dpreview.com/products/sigma/lenses/sigma_70-300_4-5p6_dg","","Sigma","138.00 ","169.00","Sigma 70-300mm F4-5.6 DG Macro"
"F2.8","Prime lens","F22","Canon EF-S, Nikon F (DX)","null","35 ","https://www.dpreview.com/products/tokina/lenses/tokina_atx_35_2p8_macro","","Tokina","375.59 ","1,032.65","Tokina AT-X Pro 35mm f/2.8 Macro DX"
"F6.3","Prime lens","F6.3","Micro Four Thirds","null","300 ","https://www.dpreview.com/products/tokina/lenses/tokina_300_6p3","Jul 17, 2012","Tokina","97.90","","Tokina Reflex 300mm F6.3 MF Macro"
"F2","Prime lens","F22","Sony FE","null","20 ","https://www.dpreview.com/products/tokina/lenses/tokina_20_2p0_fe_mf","","Tokina","","","Tokina Firin 20mm F2 FE MF"
"F2.8","Zoom lens","F22","Sony/Minolta Alpha","null","24–70 ","https://www.dpreview.com/products/sony/lenses/sony_24-70_2p8_za_ssm_ii","Apr 23, 2015","Sony","2,098.00","","Sony Vario-Sonnar T* 24-70mm F2.8 ZA SSM II"
"F5.6","Prime lens","F22","Leica M","null","12 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_12_5p6","","Voigtlander","699.00","","Voigtlander 12mm F5.6 Ultra Wide Heliar"
"F1.4","Prime lens","F16","Leica M","null","35 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_35_1p4","","Voigtlander","599.99 ","629.00","Voigtlander 35mm F1.4 Nokton"
"F2","Prime lens","F22","Micro Four Thirds","null","8 ","https://www.dpreview.com/products/venus/lenses/venus_laowa_7p5mm_2","Sep 13, 2016","Venus Optics","","","Venus Laowa 7.5mm F2"
"F2","Prime lens","F22","Sony FE","null","50 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_loxia_50_2","","Zeiss","","","Zeiss Loxia 50mm F2"
"F4.5","Prime lens","F22","Leica M","null","15 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_15_4p5","","Voigtlander","489.00 ","699.00","Voigtlander 15mm F4.5 Super Wide Heliar"
"F2.8","Prime lens","F22","Fujifilm X, Sony E","null","50 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_touit_50_2p8","Jan 30, 2014","Zeiss","886.19","","Zeiss Touit 50mm F2.8"
"F1.4","Prime lens","F16","Canon EF, Nikon F (FX)","null","85 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_otus_85mm_1p4","","Zeiss","4,393.39","","Zeiss Otus 85mm F1.4"
